,ZoneIndex,Tdelta
528,1,0.2110368545265473
529,1,0.36131019528865593
530,1,0.38954194802157716
531,1,0.4548130949240239
532,1,0.5947115446593685
533,1,-0.5343966872286074
534,1,0.9866072131326433
535,1,-0.6616585900005845
536,1,0.33253381651954683
537,1,0.7749535907164642
538,1,1.5891911875708757
539,1,2.015446114617479
540,1,-0.022427582053623496
541,1,0.1069598172063877
542,1,-0.012129714559268479
543,1,0.1571423081724852
544,1,-0.20065100509939882
545,1,0.6472698898308629
546,1,-0.6315593431237012
547,1,0.9036786975473241
548,1,0.8880597563380164
549,1,0.8676117094546427
550,1,0.7483399206258383
551,1,0.7244446177389747
1224,2,0.09399156076093362
1225,2,0.15655134486216227
1226,2,0.08491480813207986
1227,2,0.050430216275589856
1228,2,0.31631588321461024
1229,2,-0.4268585276441499
1230,2,1.0407224230685266
1231,2,0.10108500239860518
1232,2,0.4644802686731886
1233,2,1.6410877454550103
1234,2,0.24018318732976596
1235,2,1.9747799831552975
1236,2,-1.0167615604882947
1237,2,0.578716227062543
1238,2,-0.8398941799998809
1239,2,1.0197802048265885
1240,2,-1.3641609471693243
1241,2,1.4729905855064942
1242,2,-1.8922976493149086
1243,2,0.3414241314505482
1244,2,0.49754257814753444
1245,2,0.44430466792611867
1246,2,0.315070329746888
1247,2,0.2384202833336424
1920,3,0.17312745128166185
1921,3,0.2981609590658785
1922,3,0.2932561772394706
1923,3,0.32091341509057614
1924,3,0.44569984644837746
1925,3,-0.21260855514911015
1926,3,1.1845201055419885
1927,3,-0.21029148434061895
1928,3,0.6518170657161058
1929,3,0.04760840366402519
1930,3,0.2711078830645839
1931,3,2.1886331974550153
1932,3,-0.6873911170527869
1933,3,0.8300954998660366
1934,3,-0.4586618327159506
1935,3,1.1037103004086042
1936,3,-0.925654893614638
1937,3,1.2783663090167998
1938,3,-1.4139604415401337
1939,3,0.3943915944917755
1940,3,0.5311258428044603
1941,3,0.5377806079960941
1942,3,0.4726357043871836
1943,3,0.4626530987280759
2616,4,0.27124512859636596
2617,4,0.459040052121896
2618,4,0.4979833310819899
2619,4,0.5755789212372768
2620,4,0.7253279041396787
2621,4,-0.6220892225741395
2622,4,0.9097701836158336
2623,4,-0.44500736430147825
2624,4,-0.02784813314315926
2625,4,1.7377660672998125
2626,4,-0.20556058294915402
2627,4,1.3156443730916116
2628,4,-1.151084498812594
2629,4,0.3228879721261144
2630,4,-0.22747243123303207
2631,4,1.0130285086048545
2632,4,-0.4849075241068945
2633,4,1.0115448684595947
2634,4,-0.8220364915008638
2635,4,1.0555828604830602
2636,4,1.0246279620873189
2637,4,1.022229402617448
2638,4,0.9000395905637646
2639,4,0.8679446131470989
3312,5,0.32225710409865016
3313,5,0.5672402132759693
3314,5,0.6942177022975713
3315,5,0.8078878021228277
3316,5,0.9620624776971596
3317,5,-0.49449609211354684
3318,5,1.304282654174873
3319,5,-0.35086063169464765
3320,5,1.547917726502238
3321,5,1.2611335576840652
3322,5,1.016853305324453
3323,5,0.8048406799559267
3324,5,0.49428442868936884
3325,5,0.2410608775175902
3326,5,0.03258805380796659
3327,5,-0.14650135594323288
3328,5,-0.4436578815199539
3329,5,-0.5911358288812245
3330,5,0.4222145617411428
3331,5,0.5055158159093978
3332,5,0.570985001170019
3333,5,0.6958189389682836
3334,5,0.7746715897990164
3335,5,0.8596722287778285
4008,6,0.06576516980519642
4009,6,0.09357235022724453
4010,6,0.030374027793715896
4011,6,-0.017723545986136457
4012,6,0.025471988375599608
4013,6,0.20115729021845397
4014,6,0.8673542187559455
4015,6,0.9697767632830292
4016,6,1.0436131868213643
4017,6,1.2114711954695352
4018,6,-0.4223105016357458
4019,6,1.2094554965304383
4020,6,1.2752872911865865
4021,6,1.1771580893749878
4022,6,-0.8992678094284479
4023,6,0.7242079032934896
4024,6,-1.3854942533490942
4025,6,0.18554264744126314
4026,6,0.1738568968221017
4027,6,0.14467085363922294
4028,6,0.16951646444434587
4029,6,0.2011906003896371
4030,6,0.19074209080194748
4031,6,0.187662750569217
4704,7,-0.004646891144499676
4705,7,-0.02715937368152055
4706,7,-0.14777581821159913
4707,7,-0.26029734975202956
4708,7,-0.05222346057482241
4709,7,0.7425932974554463
4710,7,1.687907981863713
4711,7,1.9981381874136375
4712,7,-0.4373380062993384
4713,7,1.4267401330738991
4714,7,-0.9811287898111978
4715,7,1.2425081390393018
4716,7,1.4367340159597504
4717,7,1.430257292287287
4718,7,1.3992912170465281
4719,7,1.128268453551275
4720,7,0.8557688019018244
4721,7,0.6351079849680197
4722,7,0.3948579428576302
4723,7,0.23855567420743284
4724,7,0.17523310588002872
4725,7,0.15737405101493707
4726,7,0.0902240744099636
4727,7,0.016265540823855673
5400,8,0.003210834579263633
5401,8,-0.012509329243556522
5402,8,-0.11827022443571167
5403,8,-0.20303146779977865
5404,8,-0.17436206256497044
5405,8,0.04278151642725092
5406,8,0.7166435019710384
5407,8,0.886560640830897
5408,8,0.9480917605816792
5409,8,0.9563826984739521
5410,8,0.8831442113934393
5411,8,0.9773956211152104
5412,8,0.9765625213694591
5413,8,0.9561438774760944
5414,8,0.7387374202448242
5415,8,0.6191295971511934
5416,8,0.3857730867747833
5417,8,0.2117088506294813
5418,8,0.020560362864188164
5419,8,-0.06574848159331026
5420,8,-0.07341629534699479
5421,8,-0.04385448495003885
5422,8,-0.05951882878294157
5423,8,-0.07727844345076917
