Time,Hourlypower
0,23852.41488
1,23852.4149
2,23852.41492
3,23852.41493
4,21353.77148
5,15662.41535
6,19679.06329
7,43314.93636
8,43591.95327
9,43591.956
10,43591.9824
11,42092.02197
12,43592.01323
13,43591.9441
14,43591.94215
15,43591.97057
16,26880.86169
17,19840.65416
18,19748.31324
19,21929.02728
20,25214.38063
21,23875.49907
22,23852.41493
23,23852.41489
24,23852.4149
25,23852.41492
26,23852.41491
27,23852.41489
28,21492.58508
29,15662.41535
30,19679.06326
31,43314.93642
32,43591.95351
33,43591.95581
34,43591.98089
35,42092.02471
36,43592.01119
37,43591.94411
38,43591.94211
39,43591.97133
40,26880.86148
41,19840.65397
42,19748.31342
43,22067.84065
44,25214.38068
45,23875.49907
46,23852.41489
47,23852.41491
48,23852.41493
49,23852.4149
50,23852.4149
51,23852.41492
52,21631.39864
53,15662.41531
54,19679.06344
55,43314.93629
56,43591.95305
57,43591.95571
58,43591.98202
59,42092.02249
60,43592.01343
61,43591.94411
62,43591.94207
63,43591.9705
64,26880.8618
65,19840.6538
66,19748.31337
67,22345.4679
68,25214.38065
69,23875.49905
70,23852.41492
71,23852.41493
72,23852.41489
73,23852.4149
74,23852.41492
75,23852.41492
76,21770.21216
77,15662.41535
78,19679.06325
79,43314.93634
80,43591.95326
81,43591.95599
82,43591.98202
83,42092.02215
84,43592.01283
85,43591.94407
86,43591.94212
87,43591.97056
88,26880.86166
89,19840.65415
90,19748.31324
91,22484.2815
92,25214.38063
93,23875.49907
94,23852.41492
95,23852.41489
96,23852.41491
97,23852.41493
98,23852.41491
99,23852.41489
100,21909.02576
101,15662.41535
102,19679.06327
103,43314.93638
104,43591.95347
105,43591.95571
106,43591.98082
107,42092.02457
108,43592.01105
109,43591.94408
110,43591.94208
111,43591.97123
112,26880.86147
113,19840.65397
114,19748.31341
115,22623.09489
116,25214.38067
117,23875.49907
118,23852.41489
119,23852.41491
120,22352.4094
121,22352.40937
122,22352.40937
123,22352.40939
124,20686.64736
125,15662.41531
126,15662.4165
127,21179.06634
128,21248.32302
129,21248.32123
130,21248.32466
131,14981.67111
132,14912.41777
133,14912.41533
134,14912.41448
135,14912.41485
136,14162.40981
137,14162.40984
138,14162.40978
139,19992.5793
140,22352.41036
141,22352.40936
142,22352.40938
143,22352.4094
144,22352.4092
145,22352.40918
146,22352.40919
147,22352.4092
148,20825.46065
149,14162.40918
150,14162.40919
151,14162.4092
152,14162.40918
153,14162.40918
154,14162.40959
155,14162.40961
156,14162.41027
157,14162.40959
158,14162.40921
159,14162.40918
160,14162.40918
161,14162.40919
162,14162.40921
163,20131.39223
164,22352.40979
165,22352.4092
166,22352.4092
167,22352.40917
168,23852.4149
169,23852.41492
170,23852.41492
171,23852.41489
172,22464.27999
173,15662.41536
174,19679.06321
175,43314.93634
176,43591.95339
177,43591.95598
178,43591.98062
179,42092.02417
180,43592.01094
181,43591.94405
182,43591.94207
183,43591.97101
184,26880.86151
185,19840.65401
186,19748.31336
187,23178.34917
188,25214.38066
189,23875.49908
190,23852.41489
191,23852.4149
192,23852.41492
193,23852.41491
194,23852.41489
195,23852.41491
196,22603.09358
197,15662.4153
198,19679.06347
199,43314.93626
200,43591.95293
201,43591.95554
202,43591.98148
203,42092.02312
204,43592.01231
205,43591.94405
206,43591.94203
207,43591.97133
208,26880.86147
209,19840.65384
210,19748.31343
211,23455.97625
212,25214.38069
213,23875.49904
214,23852.4149
215,23852.41492
216,23852.41491
217,23852.41489
218,23852.41491
219,23852.41493
220,22741.90707
221,15662.41533
222,19679.06334
223,43314.93626
224,43591.95308
225,43591.95576
226,43591.98237
227,42092.02119
228,43592.01386
229,43591.94402
230,43591.94208
231,43591.97007
232,26880.86176
233,19840.65391
234,19748.31331
235,23594.79
236,25214.38062
237,23875.49906
238,23852.41492
239,23852.41492
240,23852.41489
241,23852.41491
242,23852.41493
243,23852.4149
244,23019.5342
245,15662.41536
246,19679.06318
247,43314.93629
248,43591.95324
249,43591.95598
250,43591.98141
251,42092.02245
252,43592.01222
253,43591.94403
254,43591.94207
255,43591.97055
256,26880.86161
257,19840.65412
258,19748.31325
259,23872.41707
260,25214.38063
261,23875.49907
262,23852.41492
263,23852.41489
264,23852.41491
265,23852.41493
266,23852.4149
267,23852.41489
268,23158.3478
269,15662.41534
270,19679.06328
271,43314.93633
272,43591.95341
273,43591.95556
274,43591.98074
275,42092.02437
276,43592.01088
277,43591.94403
278,43591.94204
279,43591.9711
280,26880.86146
281,19840.65397
282,19748.31339
283,24011.23049
284,25214.38067
285,23875.49907
286,23852.41489
287,23852.41491
288,22352.4094
289,22352.40938
290,22352.40937
291,22352.40939
292,21797.15584
293,15662.41531
294,15662.41649
295,21179.06635
296,21248.32303
297,21248.32119
298,21248.32466
299,14981.67113
300,14912.41773
301,14912.41534
302,14912.41446
303,14912.41486
304,14162.4098
305,14162.40984
306,14162.40978
307,21380.71489
308,22352.41036
309,22352.40936
310,22352.40937
311,22352.40939
312,22352.4092
313,22352.40917
314,22352.40918
315,22352.4092
316,21935.96914
317,14162.40918
318,14162.40919
319,14162.4092
320,14162.40919
321,14162.40918
322,14162.40959
323,14162.40962
324,14162.41027
325,14162.40959
326,14162.4092
327,14162.40919
328,14162.40918
329,14162.40919
330,14162.4092
331,21519.52783
332,22352.40979
333,22352.40919
334,22352.40921
335,22352.40918
336,23852.4149
337,23852.41492
338,23852.41493
339,23852.41489
340,23713.60202
341,15662.41537
342,19679.06317
343,43314.9363
344,43591.9533
345,43591.95606
346,43591.9806
347,42092.02339
348,43592.01136
349,43591.94402
350,43591.94205
351,43591.97077
352,26880.86154
353,19840.65406
354,19748.31331
355,24705.29837
356,25214.38065
357,23875.49908
358,23852.4149
359,23852.4149
360,23852.41491
361,23852.41493
362,23852.41489
363,23852.4149
364,23852.41561
365,15662.41532
366,19679.06339
367,43314.93634
368,43591.95308
369,43591.95543
370,43591.98105
371,42092.02382
372,43592.01145
373,43591.94402
374,43591.94202
375,43591.97133
376,26880.86139
377,19840.65391
378,19748.31345
379,24982.92535
380,25214.38068
381,23875.49906
382,23852.41489
383,23852.41491
384,23852.41493
385,23852.41489
386,23852.4149
387,23852.41492
388,23852.41558
389,15662.41532
390,19679.0634
391,43314.93623
392,43591.95299
393,43591.95564
394,43591.98192
395,42092.022
396,43592.01322
397,43591.94403
398,43591.94199
399,43591.97039
400,26880.86176
401,19840.65377
402,19748.31337
403,25121.73906
404,25214.38066
405,23875.49905
406,23852.41491
407,23852.41493
408,23852.41489
409,23852.4149
410,23852.41492
411,23852.41492
412,23852.41554
413,15801.22891
414,19679.06326
415,43314.93627
416,43591.95314
417,43591.95585
418,43591.98221
419,42092.02141
420,43592.01307
421,43591.94402
422,43591.94208
423,43591.97026
424,26880.86168
425,19840.65407
426,19748.31324
427,25260.55273
428,25214.38061
429,23875.49906
430,23852.41493
431,23852.41489
432,23852.4149
433,23852.41492
434,23852.41492
435,23852.41489
436,23852.41558
437,16078.85604
438,19679.06318
439,43314.93631
440,43591.95332
441,43591.95608
442,43591.98056
443,42092.02359
444,43592.01123
445,43591.94403
446,43591.94205
447,43591.97082
448,26880.86153
449,19840.65405
450,20025.94044
451,25260.55259
452,25214.38065
453,23875.49908
454,23852.4149
455,23852.4149
456,22352.40939
457,22352.4094
458,22352.40936
459,22352.40938
460,22352.41009
461,16217.66955
462,15662.41646
463,21179.06642
464,21248.32301
465,21248.32114
466,21248.32474
467,14981.67117
468,14912.41763
469,14912.4154
470,14912.41441
471,14912.41492
472,14162.40979
473,14162.40983
474,14578.85049
475,22352.40979
476,22352.41035
477,22352.40938
478,22352.40937
479,22352.40938
480,22352.40921
481,22352.40918
482,22352.40918
483,22352.40919
484,22352.40984
485,14856.47697
486,14162.40918
487,14162.4092
488,14162.40921
489,14162.40917
490,14162.40958
491,14162.4096
492,14162.4103
493,14162.40958
494,14162.4092
495,14162.4092
496,14162.40917
497,14162.40918
498,14856.47699
499,22352.4092
500,22352.40978
501,22352.40919
502,22352.4092
503,22352.4092
504,23852.41489
505,23852.41491
506,23852.41493
507,23852.4149
508,23852.41556
509,16495.29672
510,19679.06319
511,43314.9363
512,43591.95324
513,43591.95598
514,43591.98148
515,42092.02244
516,43592.01229
517,43591.94404
518,43591.94208
519,43591.97056
520,26880.86162
521,19840.65412
522,20720.00817
523,25260.55267
524,25214.38063
525,23875.49907
526,23852.41492
527,23852.41489
528,23852.41491
529,23852.41493
530,23852.4149
531,23852.4149
532,23852.4156
533,16772.92382
534,19679.06329
535,43314.93635
536,43591.95344
537,43591.95557
538,43591.98081
539,42092.02443
540,43592.011
541,43591.94405
542,43591.94206
543,43591.97118
544,26880.86146
545,19840.65397
546,20858.82188
547,25260.55251
548,25214.38067
549,23875.49907
550,23852.41489
551,23852.41491
552,23852.41493
553,23852.4149
554,23852.4149
555,23852.41492
556,23852.4156
557,16911.73734
558,19679.06345
559,43314.93625
560,43591.95298
561,43591.95562
562,43591.98177
563,42092.02261
564,43592.01291
565,43591.94406
566,43591.94203
567,43591.97083
568,26880.86168
569,19840.65378
570,21136.44899
571,25260.55259
