Time,Hourlypower
572,25214.38067
573,23875.49905
574,23852.41491
575,23852.41493
576,23852.4149
577,23852.4149
578,23852.41492
579,23852.41493
580,23852.41554
581,17050.55094
582,19679.06329
583,43314.9363
584,43591.95317
585,43591.95588
586,43591.98244
587,42092.02143
588,43592.01332
589,43591.94405
590,43591.94211
591,43591.97032
592,26880.8617
593,19840.65408
594,21414.07596
595,25260.55273
596,25214.38061
597,23875.49906
598,23852.41493
599,23852.41489
600,23852.4149
601,23852.41492
602,23852.41492
603,23852.41489
604,23852.41558
605,17189.36452
606,19679.06319
607,43314.93636
608,43591.9534
609,43591.95613
610,43591.98064
611,42092.02402
612,43592.01119
613,43591.94407
614,43591.94209
615,43591.97101
616,26880.86153
617,19840.65403
618,21691.70319
619,25260.55257
620,25214.38066
621,23875.49908
622,23852.41489
623,23852.4149
624,22352.40939
625,22352.40939
626,22352.40936
627,22352.40938
628,22352.41009
629,17466.99158
630,15662.41647
631,21179.06639
632,21248.32306
633,21248.32116
634,21248.32472
635,14981.67116
636,14912.41769
637,14912.41537
638,14912.41444
639,14912.41489
640,14162.4098
641,14162.40984
642,16383.42674
643,22352.4098
644,22352.41036
645,22352.40937
646,22352.40937
647,22352.40939
648,22352.40921
649,22352.40918
650,22352.40918
651,22352.4092
652,22352.40983
653,16105.79901
654,14162.40919
655,14162.4092
656,14162.4092
657,14162.40918
658,14162.40959
659,14162.40961
660,14162.41028
661,14162.40959
662,14162.4092
663,14162.40919
664,14162.40918
665,14162.40919
666,16522.23971
667,22352.40919
668,22352.40979
669,22352.40919
670,22352.40921
671,22352.40918
