1,2,3,4,5,6,7,8,9,10
-0.000235959,-0.000236972,-0.000255158,-0.000240916,-4.95E-05,-0.000238377,-0.000223451,-0.000218407,-0.000235774,-3.44E-05
0.02820211,0.031118806,0.024769157,0.033993774,0.020045532,0.016734891,0.016885054,0.008719459,0.018649501,0.002256031
0.904501012,0.895244999,0.903470647,0.899071398,0.900503394,0.917023928,0.916997773,0.962650549,0.920301686,0.994191454
1.78267656,1.963317291,1.819711804,1.812594056,1.976142495,1.552046686,1.573056494,0.661266185,1.464749815,0.085562792
4,4,4,4,12.2,4,4,4,4,12.2
